userId,movieId,rating,timestamp
186,302,3,891717742
22,377,1,878887116
244,51,2,880606923
166,346,1,886397596
298,474,4,884182806
305,451,3,886324817
62,257,2,879372434
286,1014,5,879781125
200,222,5,876042340
224,29,3,888104457
303,785,3,879485318
194,274,2,879539794
291,1042,4,874834944
167,486,4,892738452
299,144,4,877881320
291,118,2,874833878
308,1,4,887736532
95,546,2,879196566
38,95,5,892430094
102,768,2,883748450
63,277,4,875747401
160,234,5,876861185
50,246,3,877052329
290,88,4,880731963
157,274,4,886890835
181,1081,1,878962623
278,603,5,891295330
276,796,1,874791932
284,304,4,885329322
276,564,3,874791805
287,327,5,875333916
246,201,5,884921594
242,1137,5,879741196
99,4,5,886519097
178,332,3,882823437
251,100,4,886271884
81,432,2,876535131
260,322,4,890618898
59,196,5,888205088
72,679,2,880037164
87,384,4,879877127
42,423,5,881107687
115,20,3,881171009
20,288,1,879667584
13,526,3,882141053
167,232,1,892738341
60,427,5,883326620
57,304,5,883698581
223,274,4,891550094
243,15,3,879987440
92,1049,1,890251826
246,416,3,884923047
194,165,4,879546723
241,690,2,887249482
178,248,4,882823954
254,1444,3,886475558
293,5,3,888906576
127,229,5,884364867
225,237,5,879539643
299,229,3,878192429
225,480,5,879540748
276,54,3,874791025
291,144,5,874835091
222,366,4,878183381
267,518,5,878971773
42,403,3,881108684
8,338,4,879361873
87,1016,4,879876194
145,275,2,885557505
119,1153,5,874781198
28,209,4,881961214
135,23,4,879857765
32,294,3,883709863
286,208,4,877531942
293,685,3,888905170
216,144,4,880234639
166,328,5,886397722
250,496,4,878090499
160,174,5,876860807
265,118,4,875320714
42,96,5,881107178
58,144,4,884304936
271,346,4,885844430
62,21,3,879373460
279,832,3,881375854
237,514,4,879376641
94,789,4,891720887
128,485,3,879966895
298,317,4,884182806
194,385,2,879524643
222,750,5,883815120
250,264,3,878089182
82,135,3,878769629
262,1147,4,879791710
293,471,3,888904884
216,658,3,880245029
250,140,3,878092059
59,23,5,888205300
244,815,4,880605185
7,479,4,891352010
174,368,1,886434402
87,274,4,879876734
194,1211,2,879551380
82,1134,2,884714402
13,836,2,882139746
13,272,4,884538403
244,756,2,880605157
305,427,5,886323090
95,787,2,888954930
299,955,4,889502823
57,419,3,883698454
84,405,3,883452363
269,504,4,891449922
194,466,4,879525876
160,135,4,876860807
10,486,4,877886846
85,427,3,879456350
213,273,5,878870987
121,514,3,891387947
42,794,3,881108425
155,323,2,879371261
19,4,4,885412840
268,231,4,875744136
5,2,3,875636053
44,294,4,883612356
43,137,4,875975656
279,1336,1,875298353
80,466,5,887401701
66,298,4,883601324
268,1035,2,875542174
26,258,3,891347949
222,755,4,878183481
200,673,5,884128554
119,328,4,876923913
276,322,3,874786392
94,1217,3,891723086
38,328,4,892428688
160,719,3,876857977
293,1267,3,888906966
26,930,2,891385985
130,216,4,875216545
92,1079,3,886443455
256,452,4,882164999
56,755,3,892910207
13,360,4,882140926
15,405,2,879455957
292,174,5,881105481
232,483,5,888549622
259,255,4,874724710
305,471,4,886323648
161,202,5,891170769
125,235,2,892838559
83,234,4,887665548
90,347,4,891383319
272,178,5,879455113
110,688,1,886987605
151,10,5,879524921
54,106,3,880937882
303,69,5,879467542
16,944,1,877727122
301,790,4,882078621
276,1091,3,874793035
194,1028,2,879541148
91,323,2,891438397
87,554,4,879875940
294,109,4,877819599
286,171,4,877531791
200,318,5,884128458
229,328,1,891632142
178,568,4,882826555
303,842,2,879484804
62,65,4,879374686
